gene_id	Regulation	Type
SLFN5	up	mRNA
LRRC4	up	mRNA
CD7	down	mRNA
GTF2IRD2B	down	mRNA
GUCY1A1	down	mRNA
TMEM219	down	mRNA
RPL27A	down	mRNA
ZBTB46	up	mRNA
EEF1AKMT1	down	mRNA
HOXA5	down	mRNA
TENM3	up	mRNA
SMARCD3	down	mRNA
C11orf74	down	mRNA
ABCA9	down	mRNA
CORO2B	up	mRNA
GNG2	up	mRNA
SNRNP25	down	mRNA
ZNF771	down	mRNA
OPLAH	up	mRNA
NDUFA2	down	mRNA
CCL3L1	up	mRNA
ENO2	up	mRNA
SEC61G	down	mRNA
CERK	up	mRNA
S100A13	down	mRNA
MRPL20	down	mRNA
SIPA1L3	up	mRNA
H2AFJ	down	mRNA
AVPI1	down	mRNA
SLC12A6	up	mRNA
LRCOL1	down	mRNA
CNTNAP1	up	mRNA
GALT	down	mRNA
ADAMTS9	up	mRNA
ATP1B1	up	mRNA
NAA38	down	mRNA
TRPT1	down	mRNA
MOV10L1	down	mRNA
NDUFB9	down	mRNA
ALDH1L2	up	mRNA
MYO15B	down	mRNA
AGER	down	mRNA
ALOXE3	up	mRNA
TIMM10	down	mRNA
SSH2	up	mRNA
AFF3	up	mRNA
NDUFB1	down	mRNA
FOSL2	up	mRNA
CDCP1	up	mRNA
BEX5	down	mRNA
PPIH	down	mRNA
RNF44	up	mRNA
BST1	down	mRNA
PARP9	down	mRNA
FAXDC2	down	mRNA
BACH1	up	mRNA
TACC1	up	mRNA
HRCT1	down	mRNA
IFT43	down	mRNA
COX5B	down	mRNA
CYTH3	up	mRNA
TRAPPC6A	down	mRNA
COX6B1	down	mRNA
KAZN	up	mRNA
C6orf226	down	mRNA
PCDHGB7	up	mRNA
STK32B	up	mRNA
C3orf52	up	mRNA
DBP	down	mRNA
ELMSAN1	up	mRNA
DCHS1	up	mRNA
NBPF26	up	mRNA
SPIRE1	up	mRNA
RPL21	down	mRNA
CARM1	up	mRNA
SSR4	down	mRNA
RPL13A	down	mRNA
LAMTOR2	down	mRNA
SKI	up	mRNA
PPM1H	up	mRNA
SELP	down	mRNA
MST1	down	mRNA
MCEE	down	mRNA
UQCR10	down	mRNA
HNMT	down	mRNA
MSRB2	down	mRNA
BOLA1	down	mRNA
CAMSAP1	up	mRNA
TNIP3	up	mRNA
NTHL1	down	mRNA
IGFBP2	down	mRNA
MYO7A	down	mRNA
ZNF618	up	mRNA
RPLP1	down	mRNA
DTX4	up	mRNA
ITGA2	up	mRNA
MDK	down	mRNA
SWSAP1	down	mRNA
GULP1	up	mRNA
SLC39A14	up	mRNA
NDUFB2	down	mRNA
ELOB	down	mRNA
RPL38	down	mRNA
TFPI2	up	mRNA
ZFAT	up	mRNA
PTPRN2	down	mRNA
GGCT	down	mRNA
TRANK1	down	mRNA
CBL	up	mRNA
PRICKLE2	down	mRNA
ANAPC11	down	mRNA
NFYB	down	mRNA
SALL4	down	mRNA
POLR3GL	down	mRNA
SLC7A1	up	mRNA
PCDHGA10	up	mRNA
CDYL	up	mRNA
CCDC28B	down	mRNA
MORN2	down	mRNA
SMARCC1	up	mRNA
TENT5B	down	mRNA
KIF19	down	mRNA
DHRS4	down	mRNA
TFEB	down	mRNA
ADORA2A	up	mRNA
KLF7	up	mRNA
SERINC5	up	mRNA
PSTPIP2	up	mRNA
FRMD4A	up	mRNA
POLR2L	down	mRNA
NDUFA3	down	mRNA
RAP1B	up	mRNA
PHLPP2	up	mRNA
ISOC2	down	mRNA
EXOSC5	down	mRNA
FGF5	up	mRNA
CDC26	down	mRNA
ITGB3	up	mRNA
FABP5	down	mRNA
PXDN	up	mRNA
CCL23	down	mRNA
ROMO1	down	mRNA
SYNE1	up	mRNA
VPS52	up	mRNA
ARL16	down	mRNA
COX6C	down	mRNA
ERV3-1	up	mRNA
LYRM9	down	mRNA
UQCRQ	down	mRNA
CRYGS	down	mRNA
SNAI1	up	mRNA
RPS15	down	mRNA
NFIA	down	mRNA
IGF2R	up	mRNA
MED11	down	mRNA
MREG	up	mRNA
GPIHBP1	down	mRNA
NAV2	up	mRNA
MYZAP	down	mRNA
KAT2B	down	mRNA
FKBP1C	up	mRNA
NME3	down	mRNA
OXLD1	down	mRNA
CETN3	down	mRNA
GPR157	up	mRNA
GGT5	down	mRNA
TGFBR3	down	mRNA
CRLF1	down	mRNA
ARSE	down	mRNA
SETBP1	down	mRNA
USP22	up	mRNA
MYCL	up	mRNA
SEM1	down	mRNA
ANO6	up	mRNA
GPC5	down	mRNA
PSMB3	down	mRNA
FAS	down	mRNA
TMA7	down	mRNA
CYP26B1	down	mRNA
CFAP157	up	mRNA
FUT1	up	mRNA
RHPN1	down	mRNA
EDC4	up	mRNA
HTR1B	down	mRNA
COL4A1	up	mRNA
SLC16A4	down	mRNA
JAK1	up	mRNA
C16orf86	down	mRNA
DOCK11	up	mRNA
RPS19	down	mRNA
PFKFB3	up	mRNA
GBP5	down	mRNA
DENND2D	down	mRNA
