gene_id	Regulation	Type
PARP9	down	mRNA
MIB2	up	mRNA
ARL6IP1	down	mRNA
RFX1	up	mRNA
ATP5MD	down	mRNA
TTYH3	up	mRNA
ADAMTS9	up	mRNA
ZCCHC14	up	mRNA
CASP7	down	mRNA
ANKRD52	up	mRNA
SLC25A5	down	mRNA
CBX3	down	mRNA
DPY30	down	mRNA
SMO	up	mRNA
SH3TC1	up	mRNA
PGPEP1	up	mRNA
MRPL18	down	mRNA
KLC2	up	mRNA
MEX3A	up	mRNA
POLR2G	down	mRNA
TRAF1	up	mRNA
ARAP3	up	mRNA
RPL23	down	mRNA
ARHGEF15	up	mRNA
PCMT1	down	mRNA
DCHS1	up	mRNA
PPCS	down	mRNA
HMGN1	down	mRNA
STAP2	up	mRNA
MAD2L1	down	mRNA
RPL29	down	mRNA
SNX3	down	mRNA
ADK	down	mRNA
OLFML3	down	mRNA
PDLIM4	up	mRNA
EID1	down	mRNA
C1QTNF1	up	mRNA
SCLT1	down	mRNA
RSL24D1	down	mRNA
MTSS1	up	mRNA
XAB2	up	mRNA
RPL35A	down	mRNA
LRFN3	up	mRNA
ABRACL	down	mRNA
ATP5MC2	down	mRNA
TOR1B	down	mRNA
PHF11	down	mRNA
EDNRB	down	mRNA
PBXIP1	up	mRNA
SNX7	down	mRNA
ZNF618	up	mRNA
THSD7A	down	mRNA
SELENOT	down	mRNA
TELO2	up	mRNA
METTL5	down	mRNA
OSTF1	down	mRNA
UBR4	up	mRNA
SPAAR	down	mRNA
SLC27A4	up	mRNA
ARMC5	up	mRNA
CASTOR2	up	mRNA
GDF3	down	mRNA
SEMA4B	up	mRNA
SEZ6L2	up	mRNA
ACOT13	down	mRNA
RPL12	down	mRNA
MPZL2	down	mRNA
ITGB3BP	down	mRNA
RANBP1	down	mRNA
MFGE8	up	mRNA
LAMB3	up	mRNA
NFIC	up	mRNA
SRP9	down	mRNA
AK2	down	mRNA
ZC3H3	up	mRNA
SEC11C	down	mRNA
MLXIP	up	mRNA
PPP1R18	up	mRNA
MEOX2	down	mRNA
